service_index	service_key	service_name_short	question_profile	natural_subject	who	need	negative_terms
001	service_001	Передача транспорта инвалидам	disabled_vehicle	автомобиль для инвалида	инвалид	нужна машина из-за инвалидности, самому ездить тяжело	коляска;слуховой аппарат;холодильник;дрова
002	service_002	Жилье ветеранам ВОВ	ww2_housing	жильё ветерану войны	ветеран Великой Отечественной войны	ветерану ВОВ негде нормально жить	
003	service_003	"МСП женщинам, награжденых знаком ""Материнская слава"""	maternal_glory_housing	помощь с жильём за знак «Материнская слава»	женщина со знаком «Материнская слава»	многодетной матери нужно улучшить жильё	
004	service_004	ТСР инвалидам	rehab_aids	техническое средство реабилитации	инвалид	нужна коляска или другое средство реабилитации	
005	service_005	Ежемесячное матобеспечение вдовам	hero_labor_widow	ежемесячную выплату вдове Героя Труда	вдова Героя Труда	умер муж — Герой Труда, нужна ежемесячная поддержка	
006	service_006	Жилье отдельным категориям граждан, вставшим на учет до 01.01.2005	housing_before_2005	жильё для ветерана или инвалида, который стоял на учёте до 2005 года	ветеран, инвалид или семья с ребёнком-инвалидом	стоим на жилищном учёте ещё до 2005 года	
007	service_007	Оценка качества услуг	nko_quality	заключение о качестве социальных услуг для НКО	социально ориентированная НКО	НКО нужно подтвердить качество общественно полезных услуг	ребёнок;жильё;проезд;зубы
008	service_008	Единовременное пособие при возникновении поствакцинальных осложнений	post_vaccine_once	единовременное пособие после осложнения от прививки	человек с поствакцинальным осложнением	после прививки начались серьёзные осложнения	
009	service_009	Ежемесячная денежная выплата при возникновении поствакцинальных осложнений	post_vaccine_monthly	ежемесячную компенсацию после осложнения от прививки	человек с поствакцинальным осложнением	после прививки здоровье испортилось надолго	
010	service_010	Ежегодная выплата на содержание и ветеринарное обслуживание собаки-проводника	guide_dog	выплату на содержание собаки-проводника	инвалид по зрению с собакой-проводником	есть собака-проводник, нужны деньги на корм и ветеринара	
011	service_011	Адресная социальная помощь отдельным категориям граждан	address_help	адресную социальную помощь	человек из льготной категории	нужна разовая адресная помощь	
012	service_012	Компенсация обучения на дому детей-инвалидов	home_school_disabled_child	компенсацию за обучение ребёнка-инвалида на дому	родитель ребёнка-инвалида	ребёнок-инвалид учится дома, есть расходы на обучение	
013	service_013	ЕДВ семьям инвалидов	family_disabled_edv	ЕДВ семье, где все взрослые — инвалиды с детства	семья из неработающих инвалидов с детства	в семье все инвалиды с детства и никто не работает	
014	service_014	Компенсация проезда к месту проведения гемодиализа	hemodialysis_travel	компенсацию проезда на гемодиализ	инвалид на гемодиализе	несколько раз в неделю езжу на диализ, дорога дорогая	
015	service_015	Компенсация проезда инвалидам к месту проведения обследования и реабилитации	disabled_medical_travel	компенсацию проезда инвалиду на обследование или реабилитацию	инвалид	надо ехать на МСЭ, обследование или реабилитацию	
016	service_016	Компенсация проезда Детам погибших защитников отечества	fallen_defender_child_travel	компенсацию проезда к месту гибели или захоронения родителя	ребёнок погибшего защитника Отечества	хочу съездить к месту захоронения погибшего родителя	
