question_id	service_index	service_key	service_name_short	service_name_full	category	question_text	expected_service_hint	aliases_hint	question_profile	negative_terms
Q001_01	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	нужна машина из-за инвалидности, самому ездить тяжело, можно ли получить помощь от соцзащиты?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_02	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	я инвалид, могу ли подать заявление на автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_03	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	подскажите простыми словами, как оформить автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_04	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	куда идти, чтобы оформить автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_05	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	что нужно, чтобы получить автомобиль для инвалида без лишней беготни?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_06	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	можно ли подать заявление на автомобиль для инвалида через МФЦ или Госуслуги?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_07	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	какие бумаги собрать для заявления на автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_08	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	сколько времени обычно занимает рассмотрение заявления на автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_09	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	когда придёт ответ по заявлению на автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_10	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	почему могут отказать, если я прошу автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_11	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	если я не могу сам прийти, может родственник подать заявление на автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_12	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	я уже обращался раньше, можно снова попросить автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_13	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	что делать, если ошибся в заявлении на автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_14	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	как понять, дадут ли деньги или просто оформят право на автомобиль для инвалида?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q001_15	001	service_001	Передача транспорта инвалидам	Осуществление передачи легковых автомобилей и транспортных средств в собственность инвалидов	01_как_пишет_человек_в_чате	срочно нужно оформить автомобиль для инвалида, соцзащита с этим помогает?	автомобиль для инвалида	передача автомобиля инвалиду; транспортное средство инвалиду; легковой автомобиль инвалиду; автомобиль в собственность; инвалид; ТСР транспорт; передача транспорта; автомобиль для инвалида	disabled_vehicle	коляска;слуховой аппарат;холодильник;дрова
Q002_01	002	service_002	Жилье ветеранам ВОВ	Обеспечение жильем ветеранов Великой Отечественной войны	01_как_пишет_человек_в_чате	ветерану ВОВ негде нормально жить, можно ли получить помощь от соцзащиты?	жильё ветерану войны	жилье ветеранам ВОВ; обеспечение жильем; ветераны Великой Отечественной войны; улучшение жилищных условий; жилое помещение ветерану; субсидия на жилье; ветеран ВОВ; жилье участникам войны	ww2_housing	
Q002_02	002	service_002	Жилье ветеранам ВОВ	Обеспечение жильем ветеранов Великой Отечественной войны	01_как_пишет_человек_в_чате	я ветеран Великой Отечественной войны, могу ли подать заявление на жильё ветерану войны?	жильё ветерану войны	жилье ветеранам ВОВ; обеспечение жильем; ветераны Великой Отечественной войны; улучшение жилищных условий; жилое помещение ветерану; субсидия на жилье; ветеран ВОВ; жилье участникам войны	ww2_housing	
Q002_03	002	service_002	Жилье ветеранам ВОВ	Обеспечение жильем ветеранов Великой Отечественной войны	01_как_пишет_человек_в_чате	подскажите простыми словами, как оформить жильё ветерану войны?	жильё ветерану войны	жилье ветеранам ВОВ; обеспечение жильем; ветераны Великой Отечественной войны; улучшение жилищных условий; жилое помещение ветерану; субсидия на жилье; ветеран ВОВ; жилье участникам войны	ww2_housing	
Q002_04	002	service_002	Жилье ветеранам ВОВ	Обеспечение жильем ветеранов Великой Отечественной войны	01_как_пишет_человек_в_чате	куда идти, чтобы оформить жильё ветерану войны?	жильё ветерану войны	жилье ветеранам ВОВ; обеспечение жильем; ветераны Великой Отечественной войны; улучшение жилищных условий; жилое помещение ветерану; субсидия на жилье; ветеран ВОВ; жилье участникам войны	ww2_housing	
Q002_05	002	service_002	Жилье ветеранам ВОВ	Обеспечение жильем ветеранов Великой Отечественной войны	01_как_пишет_человек_в_чате	что нужно, чтобы получить жильё ветерану войны без лишней беготни?	жильё ветерану войны	жилье ветеранам ВОВ; обеспечение жильем; ветераны Великой Отечественной войны; улучшение жилищных условий; жилое помещение ветерану; субсидия на жилье; ветеран ВОВ; жилье участникам войны	ww2_housing	
