case_id	category	question	expected_compose	comment
AC001	documents	Документы для получения выплаты для почетных доноров	true	документный ответ можно улучшать только редакторски
AC002	deadline	срок принятия решения по назначению субсидии	true	сроки можно перепаковать только из готового ответа/evidence
AC003	refusal	почему могут отказать в предоставлении санкура для ребенка	true	основания отказа не должны дополняться моделью
AC004	eligibility	я родитель ребёнка-инвалида, могу ли подать заявление на помощь на коляску или слуховой аппарат ребёнку-инвалиду?	true	конкретная мера после practical ambiguity
AC005	eligibility	я пострадавший при чрезвычайной ситуации, могу ли подать заявление на материальную помощь пострадавшему при ЧС?	true	конкретная ЧС-мера после practical ambiguity
AC006	eligibility	я человек, потерявший имущество при ЧС, могу ли подать заявление на выплату за утраченное имущество после ЧС?	true	конкретная ЧС-мера после practical ambiguity
AC007	ambiguity	я льготник, могу ли подать заявление на компенсацию за жильё и коммуналку льготнику?	false	уточняющий ответ/safe_no_answer не компонуем моделью на первом шаге
AC008	guard	проверка связи	false	MessageGuard должен остановить до composer
AC009	procedure	как получить соцконтракт	true	если API даёт safe_no_answer, composer обязан пропустить и не чинить отсутствие evidence
AC010	amount	какая сумма социального контракта	true	если ответ не содержит суммы/размера, composer обязан пропустить как mismatch, а не улучшать неверный источник
