case_id	category	question	expected_intent	expected_needs_service_discovery	expected_territory	must_have_any_fact	comment
C001	documents	Документы для получения выплаты для почетных доноров	documents	false		почетный донор|донор	доноры: конфликт documents vs service_discovery
C002	documents	Какие документы нужны для ежегодной выплаты почетным донорам	documents	false		почетный донор|донор	доноры, явный документный вопрос
C003	eligibility	я инвалид, живу в Эвенкии, надо ехать на лечение	eligibility	false	Эвенкия	инвалид|Эвенкия	сложный бытовой вопрос про проезд/лечение
C004	discovery	что мне положено как одинокой матери с двумя детьми	eligibility	true		одинокая мать|два ребенка|дети	широкий подбор мер
C005	discovery	я мать-одиночка с тремя несовершеннолетними детьми что мне положено	eligibility	true		мать-одиночка|трое детей|дети	широкий подбор мер
C006	discovery	у меня сгорел дом, помогите	eligibility	true		пожар|сгорел дом|чрезвычайная ситуация	ТЖС/ЧС
C007	discovery	мне нечего есть, прошу помочь	eligibility	true		еда|продукты|трудная жизненная ситуация	ТЖС/соцпомощь
C008	discovery	дайте денег на дрова	eligibility	true		дрова|топливо|трудная жизненная ситуация	ТЖС/топливо
C009	discovery	не хватает денег собрать детей в школу, окажите помощь	eligibility	true		дети|школа|малоимущая семья	школьная выплата
C010	documents	список документов для тжс через мфц	documents	false		ТЖС|МФЦ	документы + канал подачи
C011	procedure	как подать заявление на субсидию через госуслуги	procedure	false		субсидия|госуслуги|ЕПГУ	способ обращения
C012	deadline	я обратился за тжс 07.04.2026 когда примут решение, и я получу выплату	deadline	false		ТЖС	срок/выплата
C013	refusal	почему могут отказать в предоставлении санкур для ребенка	refusal	false		санаторно-курортное лечение|ребенок	основания отказа
C014	amount	какая сумма социального контракта	amount	false		социальный контракт	сумма
C015	procedure	на что можно потратить соцконтракт	procedure	false		социальный контракт	условия/направления использования
C016	eligibility	нужна ли прописка в красноярском крае для получения соцконтракта	eligibility	false	Красноярский край	социальный контракт|прописка|регистрация	условие права
C017	eligibility	может ли представитель по доверенности подать документы на субсидию	eligibility	false		представитель|доверенность|субсидия	право представителя
C018	form	можно ли подать скан документа через госуслуги	form	false		скан|электронный документ|госуслуги	форма документа
C019	eligibility	я ветеран труда края какие документы нужны для получения едв	documents	false		ветеран труда края|ЕДВ	документы + услуга
C020	eligibility	я почетный житель Эвенкии, какие выплаты мне положены	eligibility	true	Эвенкия	почетный житель|Эвенкия	широкий вопрос по категории
C021	eligibility	я почетный гражданин Таймыра, могу получить выплату	eligibility	false	Таймыр	почетный гражданин|Таймыр	конкретная мера/территория
C022	eligibility	ребенку-инвалиду нужна коляска, можно получить помощь?	eligibility	false		ребенок-инвалид|коляска|ТСР	ТСР/АМП
C023	eligibility	нужны зубные протезы ветерану труда, можно получить компенсацию?	eligibility	false		ветеран труда|зубные протезы	зубопротезирование
C024	eligibility	участнику вов нужны зубные протезы, какие документы?	documents	false		участник ВОВ|зубные протезы	документы/зубопротезирование
C025	eligibility	у родственника погибшего защитника отечества можно оплатить проезд к месту захоронения	eligibility	false		погибший защитник Отечества|захоронение|проезд	проезд к месту захоронения
C026	eligibility	как получить удостоверение ликвидатора чаэс	procedure	false		удостоверение|ликвидатор|ЧАЭС	чернобыльское удостоверение
C027	eligibility	положена ли выплата семье погибшего при чрезвычайной ситуации	eligibility	false		семья погибшего|чрезвычайная ситуация	ЧС, гибель
C028	eligibility	после паводка испортилось имущество, могу получить выплату	eligibility	false		паводок|имущество|ЧС	ЧС, утрата имущества
C029	other	проверка связи	other	false			техническое сообщение, обычно отсекает guard
C030	other	привет, спасибо	other	false			small talk, обычно отсекает guard
