case_id	category	question	expected_supported_domain	expected_intent	expected_needs_service_discovery	expected_territory	must_have_any_fact	must_have_any_need	comment
MU001	documents	Документы для получения выплаты для почетных доноров	true	documents	false		почетный донор|донор	документ|перечень документов	документный вопрос не должен стать широким подбором
MU002	documents	я ветеран труда края какие документы нужны для получения едв	true	documents	false		ветеран труда|ЕДВ	документ|перечень документов	явный вопрос по документам
MU003	form	можно ли подать скан документа через госуслуги	true	form	false		скан|госуслуги	форма|электронный образ|скан	форма документа приоритетнее обычного списка
MU004	procedure	как подать заявление на субсидию через госуслуги	true	procedure	false		субсидия|госуслуги	подать заявление|подача заявления|госуслуги|способ обращения	способ обращения
MU005	deadline	я обратился за тжс 07.04.2026 когда примут решение	true	deadline	false		ТЖС	срок|решение	срок принятия решения
MU006	payment_timing	я обратился за тжс 07.04.2026 когда получу выплату	true	payment_timing	false		ТЖС	выплата|перечисление	срок выплаты после обращения
MU007	amount	какая сумма социального контракта	true	amount	false		социальный контракт	сумма|размер	размер меры
MU008	refusal	почему могут отказать в предоставлении санкура для ребенка	true	refusal	false		санаторно-курортное лечение|ребенок	отказ|основания отказа	основания отказа
MU009	appeal	как обжаловать отказ в выплате	true	appeal	false		отказ	обжалование|жалоба	обжалование
MU010	discovery	я мать-одиночка с тремя несовершеннолетними детьми что мне положено	true	eligibility	true		мать-одиночка|трое детей|дети	подбор мер|что положено	широкий подбор мер
MU011	discovery	у меня сгорел дом, помогите	true	eligibility	true		пожар|сгорел дом|чрезвычайная ситуация	помощь|жилье|имущество	жизненная ситуация без конкретной услуги
MU012	discovery	мне нечего есть, прошу помочь	true	eligibility	true		еда|продукты|нет еды|нечего есть|трудная жизненная ситуация	питание|продукты|помощь	жизненная ситуация
MU013	discovery	не хватает денег собрать детей в школу, окажите помощь	true	eligibility	true		дети|школа|семья|дети школьного возраста	школа|подготовка к школе|сборы в школу|одежда	школьная потребность
MU014	eligibility	я инвалид, живу в Эвенкии, надо ехать на лечение	true	eligibility	false	Эвенкия	инвалид|Эвенкия	проезд|поездка|лечение	важно не потерять транспортный смысл
MU015	eligibility	ребенку-инвалиду нужна коляска, можно получить помощь?	true	eligibility	false		ребенок-инвалид|коляска	коляска|помощь|ТСР	конкретная потребность
MU016	eligibility	после паводка испортилось имущество, могу получить выплату	true	eligibility	false		паводок|имущество|ЧС	имущество|выплата|ущерб	конкретная ЧС-потребность
MU017	eligibility	я пострадавший при чрезвычайной ситуации, могу получить материальную помощь	true	eligibility	false		пострадавший|чрезвычайная ситуация	материальная помощь|помощь	конкретная ЧС-помощь
MU018	eligibility	я льготник в Эвенкии, могу оформить компенсацию ЖКУ	true	eligibility	false	Эвенкия	льготник|Эвенкия	ЖКУ|коммунальные услуги|компенсация	территория плюс потребность
MU019	other	проверка связи	false	other	false				техническое сообщение
MU020	other	привет, спасибо	false	other	false				бытовое сообщение без предметного вопроса
